die Scheiße	the feces (no plural)	
der Moment; -e	the moment	
glauben	to believe	
bringen	to bring	
niemand	no one, nobody (not 'k...')	
brauchen	to need	
warten	to wait	
die Arbeit; -en	the work (not Werk)	
fragen	to ask, to question	
sprechen	to speak	
wann	when (time)	
der Verbrecher; -	the criminal, villain, outlaw	
jeder	each, every, everybody (not immer, je, überhaubt)	
kennen	to be familiar with, be aware of	
fertig	ready, finished, done	
einmal	once (2 syllables)	
halten	to hold, to stop, to keep	
sofort	immediate, immediately, instantly, right away (s)	
der Sohn; -"e	the son	
bevor	before	
das Kind; -er	the child	
die Uhr; -en	the watch, the clock	
wahr	true, genuine, real ('w_')	
Lieber; Liebe; Liebes	Dear ... (three forms of endearment as in Dear Brother/Sister/Diary)	
lieber	rather (not eher, vielmehr, ziemlich, eigentlich)   (l)	
allein	alone	
der Kopf; -e	the head	
denken	to think	
die Sache; -n	the thing (not Gegenstand, Ding) (not Stoff) (S)	
der Bruder; -"	the brother	
gern	gladly	
das Ende; -n	the end, ending, finish, conclusion (unusual pluralization) ('E_')	
später	later	
fahren	to drive, to go	
vergessen	to forget, forgotten	
die Stadt; -"e	the town, the city	
das Problem; -e	the problem	
der Dank	the thanks (no plural)	
eins	one (number)	
die Frage; -n	the question	
egal	indifferent, similar, regardless (expression: It does not matter.) (e)	
die Familie; -n	the family	
weit	far, wide, broad	
die Musik; -en	the music	
sterben	to die ('s_')	
die Hilfe	the help (no plural)	
beide	both	
bald	soon	
das Land; -"er	the country, the state (not Staat, Bundesland)	
das Glück	the luck, the happiness (no plural)	
das Baby; -s	the baby	
verrückt	crazy, lunatic ('v_')	
die Tür; -en	the door	
ruhig	calm, quiet (not still)	
das Auto; -s	the car ('A_')	
dies	this (uninflected form)	
das Wasser	the water	
die Ruhe	the peace, the quiet (no plural) (R)	
je	each (1 syllable)	
der Krieg; -e	the war	
stehen	1. to stand 2. to suit, to fit well	
der Fall; -"e	the case, the event	
die Hand; -"e	the hand	
lang	long	
hoch	high	
eigentlich	actually (e)	
töten	to kill	
fast	almost (beinahe, ... )	
die Polizei; -en	the police (as a unit)	
spielen	to play	
hinter	behind	
sogar	even, yet, actually (s)	
der Teufel; -	the devil	
der Name; -ns; -n	the name	
oben	above (adverb), above, up, on top	
spät	late	
bekommen	to get, obtain, receive ('b_')	
bereit	ready, poised, prepared ('b_')	
die Mama; -s	the mama, mom, mum (not Mutti, or ...)	
woher	from where (whence) (w)	
arbeiten	to work	
verstehen	to understand (v)	
das Verstehen	the comprehension, understanding (not Verständnis; no plural)	
der Tod; -e	the death	
das Jahr; -e	the year	
der Wagen; -	the car ('W_')	
wagen	to dare, venture, wage, risk ('w_')	
toll	great ('t_')	
fünf	five	
etwa	about, some, roughly, approximately (e)	
die Geschichte; -n	the history	
draußen	outside (not außen) (d)	
treffen	to meet, to hit, to make (decisions, agreements etc.)	
der Job; -s	the job (not Beruf, Arbeit, Aufgabe)	
nett	nice	
echt	genuine	
vier	four	
das Zimmer; -	the room (Raum, or ...)	
anders	different(ly), otherwise, else	
die Art; -en	the kind, the type (A)	
die Woche; -n	the week	
die Ahnung; -en	the idea, clue (A)	
der Kerl; -e	the guy ('Typ' or ...)	
der Typ; -en	the guy ('Kerl' or ...)	
schwer	difficult, heavy	
kurz	short	
gestern	yesterday	
wenig	few	
das Alter; -	the age	
suchen	to search, to look for	
die Schwester; -n	the sister	
bestimmt	definitely ('b_')	
die Tochter; -"	the daughter	
der Grund; -"e	the cause, reason ('Ursache' or ...)	
zeigen	to show, point (not deuten) (z)	
das Herz; -ens; -en	the heart (weak and special)	
das Bett; -en	the bed	
überhaupt	at all, generally (not sowieso, jedenfalls, irgendwie)  (ü)	
holen	to fetch, to get (fetch)	
gefallen	to please, to be pleasing (+ dat.)	
die Seite; -n	the page, the side	
unten	below, downstairs, down, under, beneath	
der Dollar; -s	the dollar bills (has no plural and an amount)	
versuchen	to try ('probieren' or ...) (v)	
schlecht	bad ('schlimm' or ...)	
das Wort; -"er	the word	
erhalten	to receive, to obtain, to maintain (not bekommen) (e)	
deshalb	therefore, that's why (not daher, deswegen) (d)	
wohin	whither (to what place)	
eben	even, smooth, level, just	
trinken	to drink	
das Gesicht; -er	the face	
verlassen	to leave sb, abandon sb, lonely, abandoned	
der Mensch; -en; -en	the human being, the person (weak)	
der Film; -e	the film	
ziemlich	quite, rather (tall), fairly (quiet)	
schlafen	to sleep	
zwischen	between (not dazwischen)	
manchmal	sometimes	
die Wahrheit; -en	the truth	
das Ding; -e	the thing ('D_')	
das Fest; -e	the festival	
fest	solid	
die Nummer; -n	the number (not 'z...')	
der Einsatz	the commitment, effort, deployment (no plural) ('e')	
während	during, while	
wiedersehen	to see again	
kriegen	to get, to war, to make war	
niemals	never (not once) (nie, or ... )	
die Idee; -n	the idea (not 'A...')	
endlich	at last, finally ('e')	
frei	free	
sondern	but, but rather (not aber)	
setzen	to set	
der Ort; -e	the place (not Stelle, Platz) (O)	
alt	old	
euer	your (informal and plural)	
ernst	serious (ernsthaft, seriös, or ...)	
oft	often	
einige	several, some, a few ('ei_')	
die Schule; -n	the school	
das Feuer; -	the fire ('Brand' or ...)	
entschuldigen	to apologise (not verzeihen)	
erzählen	to tell, narrate, relate (ausrichten, or ...)	
bloß	mere, merely, just (not 'n..', 'l..')	
der Pass; -"e	the passport	
der Platz; -"e	the place, the city square (P)	
die Schuld; -en	the debt, the blame	
der Spaß; -e	the fun	
die Sorge; -n	the worry	
der Hund; -e	the dog	
wichtig	important	
kaum	hardly	
falls	if; in the case of (wenn, ob, or ...)	
stellen	to put in an upright position (a vase, etc.), place, lay, set, stand (sth up) (not legen, setzen, stecken) (s)	
die Rede; -n	the speech, the talk	
glücklich	happy ('g_')	
früh	early	
das Blut	the blood (no plural)	
sechs	six	
zuerst	first, initially, primarily, at first, first of all (not erste, erst, zunächst)	
der Teil; -e	the part, piece, section, portion (T)	
die Stunde; -n	the hour	
lieben	to love, cherish, be fond of	
langsam	slow	
das Telefon; -e	the telephone	
zehn	ten	
der Himmel; -	the sky	
die Waffe; -n	the weapon	
die Freundin; -nen	the female friend, the girlfriend	
lernen	to learn, to study	
die Tat; -en	the act; the deed	
die Luft; -en	the air	
die Menge; -n	the quantity, amount (not Betrag, Anteil, Maß, Anzahl) (M)	
außer	except	
überall	everywhere	
das Licht; -er	the light (not Beleuchtung, Leuchte)	
die Erde; -n	the earth	
voll	full	
nennen	to mention, name, call by name (n)	
der König; -e	the king	
falsch	wrong	
wahrscheinlich	probably ('vermutlich') (w)	
die Straße; -n	the street	
dürfen	to be allowed to	
möglich	possible ('m_')	
ziehen	to pull, drag, draw (pull, trace)	
die Eltern	the parents (no plural)	
heiraten	to marry	
ehrlich	honest	
der Kaffee	the coffee (no plural)	
der Arzt; -"e	the doctor, physician (not 'm...')	
das Büro; -s	the office ('Amt' or ...)	
groß	big, large, tall	
der Fehler; -	the mistake, the error	
das Stück; -e	the piece	
krank	sick	
die Stelle; -n	the position (not Lage, Stellung, Position, Standort) (S)	
drüben	over there (one word) (not dort) (d)	
danach	afterwards, after, subsequently, thereafter (anschließend, or ...)	
rufen	to call, to shout	
schaffen	to create, accomplish, floor sb (defeat), manage to do sth	
völlig	fully, completely (2 syllables) (v)	
jemand erinnern	to remind somebody (two words) (j)	
laufen	to run ('l_')	
direkt	directly	
die Suche; -n	the search	
still	quiet, calm, still, silent (s)	
das Buch; -"er	the book	
der Körper; -	the body	
schreiben	to write	
trotzdem	still, yet , despite, nevertheless (not trotz) (t)	
das Schiff; -e	the ship	
die Zukunft; -"e	the future	
kaufen	to buy, purchase (not einkaufen)	
sitzen	to sit	
retten	to rescue, save (lives)	
leider	unfortunately (l)	
tragen	to carry, to wear, bring	
irgendwo	somewhere	
der Onkel; -	the uncle	
verlieren	to lose	
der Mund; -"er	the mouth	
die Party; -s	the party (not Partie, Feier, Fest, Partie, Fete) (P)	
leicht	light, easy	
verschwinden	to disappear	
der Plan; -"e	the plan	
der Schlüssel; -	the key	
zwar	admittedly; indeed (not freilich)	
das Lesen; -	the reading (not Lesung, Lektüre, Vorlesung) (no plural)	
lesen	to read	
der General; -"e	the General	
kämpfen	to fight, battle	
hart	hard	
mögen	to like	
hinten	at the back, in the rear	
fliegen	to fly	
das Gefühl; -e	the feeling (G)	
der Liebling; -e	the darling, favourite	
böse	vicious, wicked, evil, naughty	
vorsichtig	careful (v)	
die Stimme; -n	the voice	
acht	eight	
froh	happy ('f_') (not fröhlich)	
der Boden; -"	the soil, bottom, floor, ground (not Erde)	
die Zentrale; -n	the headquarter, center, base, main office (not Zentrum) (Z)	
der Rest; e	the remainder, remnant (R)	
fort	away, gone (not 'w..') (f)	
damals	then, back then, at that time (not dann, sodann, da, denn)	
erklären	to explain, declare	
das Geschäft; -e	the business, the deal, the store	
der Zug; -"e	the train	
die Klasse; -n	the class (Unterricht, Kurs, Schulklasse, or ...)	
die Wohnung; -en	the apartment, flat, dwelling, lodging	
stark	strong (not kräftig) (s)	
stolz	proud	
der Laden; -	the shop, store, loading (no plural)	
laden	to load "sth", charge "sth"	
weniger	less	
besonders	especially (b)	
schicken	to send (not 'senden,'  versenden, verschicken) (s)	
schauen	to look ('s_')	
aufhören	to stop, end, discontinue, cease doing something (not anhalten, halten, stoppen, aufhalten, beenden)	
das Gefängnis; -se	the prison, the jail (not 'K...')	
das Krankenhaus; -er	the hospital	
der Traum; -"e	the dream	
die Nachricht; -en	the news, message	
die Dame; -n	the lady	
heraus	out, forth (h)	
das Hotel; -s	the hotel	
fallen	to fall ('f_')	
das Boot; -e	the boat	
das Fenster; -	the window	
der Sinn; -e	the sense, the meaning (not Bedeutung)	
vorstellen	to introduce	
lachen	to laugh	
der Ritter; -	the knight	
der Mai	the May (no plural)	
zweite	second	
heißen	to mean sth, signify sth, read (have a certain wording) to be called	
geschehen	to happen, occur, happened, occured	
total	total(ly)	
ändern	to alter, change, modify ('ä...')	
tanzen	to dance	
folgen	to follow (This is a dative verb)	
solange	as long as	
nachdem	after which (not danach, nach)	
führen	to lead, guide, direct ('f_')	
das Vertrauen	the trust (no plural) (V)	
vertrauen	to trust	
wenigstens	at least ('w_')	
lustig	funny, humourous (not 'w...', 'k...')	
dumm	dumb, stupid ('d_')	
arm	poor	
der Arm; -e	the arm	
plötzlich	suddenly ('p_')	
passieren	to happen ('p_')	
das Bild; -er	the picture	
wunderbar	marvelous, wunderful (not wundervoll, wunderschön) (w)	
sieben	seven	
die Antwort; -en	the answer	
unmöglich	impossible	
herum	around (in all directions) (h)	
super	super	
komisch	1. funny. 2. strange (k)	
das Auge; -n	the eye	
das Bier; -e	the beer	
vorher	prior, before, previously ('v_')	
kalt	cold	
anrufen	to call (on the phone)	
der Augenblick; -e	the moment, present moment, instant, flash (blink of an eye) (A)	
verheiratet	married (not geheiratet) (v)	
der Tisch; -e	the Table	
schlimm	bad ('schlecht' or ...)	
schießen	to shoot	
die Meinung; -en	the opinion ('M_')	
der Rum	the rum (singular only)	
die Sonne; -n	the sun	
die Armee; -n	the army (not Heer)	
links	on the left (1 word)	
wozu	wherefore, why, what for (not wofür, weswegen, weshalb) (w)	
müde	tired	
liegen	to lie, lay, sit, to be located, to be situated (l)	
die Reise; -n	the journey, voyage, trip ('R_')	
die Sicherheit; -en	the security	
das Team; -s	the team (Mannschaft, or ...)	
sobald	as soon as ('sowie' or ...) (coordinating conjunction) (s)	
der Finger; -	the finger	
der Brief; -e	the letter (mail)	
zahlen	to pay (not 'b...')	
welcher; welches; welche	which (three forms)	
gewinnen	to win	
laut	loud	
verkaufen	to sell	
fangen	to catch	
bezahlen	to pay (for)	
der Anfang; -"e	the beginning ('A_')	
der Versuch; -e	the attempt	
gefährlich	dangerous	
außerdem	besides, moreover, furthermore, in addition	
legen	to put, lay, place, set (l)	
der Präsident; -en; -en	the president (weak)	
die Person; -en	the person (not 'Mensch')	
nochmal	again ('n_')	
perfekt	perfect	
der Monat; -e	the month	
behalten	to retain, keep	
singen	to sing	
erfahren	to experience, hear sth, learn sth, experienced, seasoned (not erleben, durchmachen, durchleben, wahrnehmen, mitmachen) (e)	
obwohl	although ('obgleich' or ...)	
rechts	on the right (1 word)	
die Nähe	the proximity, vicinity, closeness (no plural)	
die Sichtweise; -n	the perception, viewpoint, way of seeing things (S)	
dagegen	However, against it, by contrast, on the other hand (hingegen, or ...) (d)	
das Pferd; -e	the horse	
klein	small	
anfangen	to begin, to start ('a_')	
die Minute; -n	the minute	
nötig	necessary (not notwendig) (n)	
schlagen	to hit ('s_')	
der Mord; -e	the murder	
der Schluss; -e	the conclusion, end, ending, closure, close (S)	
der Band; -"e	the volume (as in volume of a book or encyclopedia)	
die Band; -s	the band (music group)	
das Band; -"er	ribbon, band, strap, ligament	
der Meister; -	the master	
jedenfalls	in any case, in any event, at any rate ('j_')	
neu	new	
das Schwein; -e	the pig	
hübsch	pretty, handsome, cute, lovely (schön, or ...)	
unterwegs	on the way (one word) (u)	
das Ziel; -e	the aim, target, objective, purpose, goal (not Zweck, Absicht, or ...)	
offen	open (adj.)	
jemals	ever, ever at any time (not immer, je, stets) (j)	
der Geist; -er	the spirit, mind, ghost	
die Wette; -n	the bet, wager	
das Beispiel; -e	the example	
der Chef; -s	the male boss	
die Nase; -n	the nose	
sowieso	anyway, in any case, anyhow (s)	
rücken	to move, move over, jiggle (r_)	
der Rücken; -	the back, rear, spine (not Rückenseite) (no plural) (R)	
reich	rich	
das Flugzeug; -e	the airplane	
die Gefahr; -en	the danger, risk	
absolut	absolute ('a_')	
bekannt	famous, known, noted (not berühmt, beliebt) (b)	
tief	deep, low	
regeln	to rule, regulate, adjust, control (not regieren) (r)	
die Bank; -en	the bank (financial but not furniture)	
der Professor; -en	the professor	
der Partner; -s	the partner (not 'Gesellschafter' or ...)	
das Opfer; -	the sacrifice, victim, casualty (no plural)	
nutzen	to use ('n')	
die Ehe; -n	the marriage ('E_')	
geboren	born (adj. or past tense)	
jung	young	
die Tasche; -n	the bag ('Tüte' or ...) (T)	
der Lauf; -e	the run, (gun) barrel, current, course	
die Haut; -"e	the skin	
die Richtung; -en	the direction (R)	
die Weise; -n	the way, manner (the way or manner in which a thing is done or happens) (definitely not Weg) (W)	
weise	wise, prudent	
der Raum; -e	the room (Zimmer, or ...)	
die Regierung; -en	the government (R)	
die Rolle; -n	the role	
der Frieden	the peace (no plural)	
das Volk; -er	the people (nation, ethnic group) (V)	
schrecklich	awful, terrible, horrible, dreadful ('s_')	
das Gericht; -e	the dish(of food), court(of law) (not Speise)	
ständig	constant, continuous (not 'konstant') (s)	
fernsehen	to watch tv	
das Fernsehen	the television (as a phenomenon) (no plural)	
das Gesetz; -e	the law (not Recht, Jura) (no plural)	
neben	next to, beside	
dahin	thither, there (to that place), lost (dah)	
die Freiheit; -en	the freedom	
das Gold	the gold (no plural)	
verdächtigen	to suspect (sb of sth) (not ahnen or vermuten) (4 syllables) (v)	
das Weihnachten; -	the Christmas (no plural)	
der Preis; -e	the price	
benutzen	to use (not 'a...', 'g...', 'n...', 'v...')	
das Geschenk; -e	the gift	
die Aufmerksamkeit; -en	the attention, interest, attentiveness (A)	
heiß	hot	
pro	per (not per, je)	
die Lage; -n	1. the location, position. 2. the situation (not Stellung, Stelle) (L)	
das Schicksal; -e	the fate	
der Punkt; -e	the dot, spot, point,  period (P)	
ansehen	to look at (sb/sth), to watch (not anschauen, angucken, ankucken, betrachten) (ans...)	
der Witz; -e	the joke	
diesmal	this time	
ewig	forever (immer, or ...)	
der Unfall; -"e	the accident	
der Hunger	the hunger (no plural)	
die Kamera; -s	the camera ('K_')	
das Taxi; -s	the taxi	
der Tee	the tea (no plural)	
der See; -n	the lake	
die See; -n	the sea (not Meer) (S)	
das Meer; -e	the sea (not See) (M)	
erreichen	to achieve, reach, attain, accomplish, gain, obtain (not 'erzielen')	
die Hochzeit; -en	the wedding	
der Geburtstag; -e	the birthday	
der Hut; -"e	the hat	
die Liste; -n	the list	
die Karte; -n	the card	
die Gesellschaft; -en	the society, association, company, corporation, companion	
lügen	to lie, to say falsely	
die Kirche; -n	the church	
traurig	sad	
die Kontrolle; -n	the inspection, monitoring, examination, control (K_)	
das Zeichen; -	the sign (not Schild, Anzeichen, Vorzeichen) (no plural)	
das Foto; -s	the photo	
seltsam	odd, peculiar, strange ('merkwürdig' or ...)	
sauber	clean (not 'rein') (s)	
das Aussehen	the physical appearance, looks, look (no plural)	
aussehen	to look (like) (not schauen, anschauen, sehen, blicken, gucken, kucken) (a)	
die Hoffnung; -en	the hope	
der Ball; "e	the ball (not Kugel)	
der Wein; -e	the wine	
die Szene; -n	the scene	
das Vergnügen; -	the pleasure, the delight (no plural) (V)	
irgendwann	sometime (i~)	
stechen	to stick, stab, sting, prick, bite (mosquito)	
neun	nine	
drehen	turn, spin, rotate (wenden, abdrehen, umdrehen, abbiegen) (d)	
die Tante; -n	the aunt	
kaputt	broken	
das Dorf; -"er	the village	
das Glas; -"er	the glass	
nervös	nervous	
zuhause	at home ('z_')	
die Firma; die Firmen	the company, the enterprise (F)	
die Lust	the desire (to do sth.); the passion (no plural)	
der Blick; -e	the glimpse, sight, glance, look, view (B)	
süß	sweet	
öffnen	to open ('ö_')	
gehören	to belong to (+ dat.)	
nachts	at night ('bei Nacht' or ...)	
der Meter; -	the meter (no plural)	
wunderschön	gorgeous, beautiful, wonderful (w)	
antworten	to answer (not 'b...')	
der Hals; -e	the neck	
nämlich	namely	
der Besuch; -e	the visit	
wohnen	to live (in a place)	
lieb	dear (teuer, herzig) (This is for you, my dear child.)	
persönlich	personal	
die Entscheidung; -en	the decision	
interessant	interesting	
passen	to fit, to suit (p)	
der Wind; -e	the wind	
der Polizist; -en; -en	the male police officer (weak)	
die Sekunde; -n	the second (60 seconds in a minute)	
beweisen	to prove, substantiate, provide evidence (for sth) ('b_')	
verraten	to betray, give away (one's cover) (betrügen, or ...) (v)	
lagern	to store, camp	
werfen	to throw	
der Fuß; -"e	the foot (anatomical)	
gegenüber	across (from)	
ungefähr	about, roughly, approximately, approximate (not über, etwa, um)  (u)	
übrigens	by the way, incidentally (ü)	
der Mut	the courage (not Tapferkeit, Courage)(no plural)	
sauer	sour, annoyed	
das Geheimnis; -se	the secret	
entfernt	remote, distant, away, removed (e)	
statt	instead of ('s_')	
das Bein; -e	the leg	
furchtbar	terrible, awful, dreadful ('f_')	
schuldig	guilty	
die Gruppe; -n	the group	
der Amerikaner; -	the American person	
das Loch; -"er	the hole	
besuchen	to visit	
entlang	along, alongside	
die Freude; -n	the joy	
geliebt	beloved (g)	
die Insel; -n	the island	
das Fleisch	the meat (no plural)	
der Schmerz; -en	the pain	
die Zeitung; -en	the newspaper	
erkennen	to recognise, to realise	
das Gebäude; -	the building (no plural)	
das Messer; -	the knife (no plural)	
der Kontakt; -e	the contact	
schreien	to scream, to shout	
der Rat; -"e	the advice, counsel (Ratschlag, Beratung, or ...)	
das Haar; -e	the hair	
teilen	1. to divide. 2. to share	
der Bus; -se	the bus (Autobus, or ...)	
der Richter; -	the judge	
mitnehmen	to take along	
das Lied; -er	the song (not Song or Gesang)	
drinnen	inside there (2 syllables)	
der Computer; -	the computer (no plural)	
verstecken	to hide (sth) (not 'verbergen')	
das Verstecken	the hiding, concealment, encryption (no plural) (V)	
die Königin; -nen	the queen	
der Bericht; -e	the report	
miteinander	with one another, together	
zufrieden	pleased, satisfied (befriedigt, or ...) (z)	
wütend	furious ('w_')	
der Fisch; -e	the fish	
vorwärts	forward, forwards, ahead	
die Vergangenheit; -en	the past (Ver-)	
überleben	to survive	
der Agent; -en; -en	the agent (weak)	
die Position; -en	the position ('p_')	
die Küche; -n	the kitchen	
der Ring; -e	the ring	
die Gegend; -en	the area, neighborhood, region (not Gebiet, Region) (G)	
nah	near	
die Verbindung; -en	the connection, the combination, the link	
das Kleid; -er	the dress (generally worn by women)	
die Ecke; -n	the corner	
das Radio; -s	the radio	
das Eis	the ice, ice cream (no plural)	
witzig	witty, funny	
kurzlebig	short-lived, transient, ephemeral	
~ zufolge	according to ~ (z)	
der Flug; -"e	the flight	
halb	half	
England	England	
bauen	to build	
entscheiden	to decide (bestimmen, beschließen, or ...) (e)	
erledigen	to settle (issue), handle (problem), do (e)	
zerstören	to destroy	
die Maschine; -n	the machine	
beschäftigt	busy (of a person)	
der Sommer; -	the summer	
der Respekt	the respect ('Hinsicht' or ...) (no plural)	
schließlich	eventually, lastly, at last, finally ('s')	
die Adresse; -n	the address	
die Fahrt; -en	the journey, trip ('F_')	
beginnen	to begin ('b_')	
die Aufgabe; -n	the task, assignment, purpose, duty, surrender, job	
hängen	to hang	
feiern	to celebrate	
weinen	to cry (with tears)	
betrunken	drunk (not getrunken, besoffen)	
die Beziehung; -en	the relationship (B)	
der Wald; -"er	the forest	
soweit	insofar as, as far as, provided (that), to the extent (that) (it be possible)  (not insofern, insoweit) (s)	
stimmen	to tune (instrument), vote, add up (be correct)	
der Park; -s	the park	
danken	to thank	
schwierig	difficult (2 syllables)	
die Hälfte; -n	the half (not Halbe)	
besorgt	worried	
der Koffer; -	the suitcase	
die Pistole; -n	the gun, pistol	
die Brücke; -n	the bridge	
der Knast; -"e	the jail, the slammer (colloquial)	
gesund	healthy	
der Quatsch	the nonsense (no plural) ('Q_')	
wünschen	to wish	
der Unterschied; -e	the difference	
leiden	to suffer	
leisten	to achieve, accomplish, render, perform (a service), make (a payment)	
das Tor; -e	the gate (T)	
der Glückwunsch; -"e	the congradulations, best wishes (G)	
der Soldat; -en	the soldier	
verantwortlich	responsible ('v_')	
das Dach; -"er	the roof	
der Lehrer; -	the teacher	
steigen	to rise; to increase; to climb	
stiften	to donate, endow, bring about (e.g. peace) (not spenden, schenken) (s)	
die Katze; -n	the cat	
das Tier; -e	the animal	
rennen	to run ('r_')	
das Gehirn; -e	the brain	
das Theater; -	the theatre	
der Erfolg; -e	the success	
der Fluss; -"e	the river	
blöd	stupid, silly, dumb (b)	
die City	the city, downtown (no plural)	
küssen	to kiss	
der Baum; -"e	the tree	
davor	beforehand, before that (d)	
verdienen	to earn (v)	
das System; -e	the system	
der Club; -s	the club (not 'k...', 'v...') (C)	
das Lächeln; -	the smile (no plural)	
lächeln	to smile	
das Abendessen; -	the supper ('Abendbrot' or ...)	
die Flasche; -n	the bottle	
schützen	to protect (not beschützen, behüten)	
leer	empty	
schließen	to close, shut, conclude, infer (not zumachen, abschließen, beenden) (s)	
rauchen	to smoke	
das Rauchen	the smoking (no plural)	
der Vogel; -"	the bird	
vermutlich	probably ('wahrscheinlich') (v)	
kosten	to cost	
der Haufen; -	the pile (no plural)	
die Wand; -"e	the wall (Mauer, or ...) (unusual pluralization)	
brechen	to break (into two)	
der Grad; -e	the degree (a unit of measure)	
übernehmen	to assume, to take over, take on (ü)	
zuvor	previously, before ('z_')	
die Natur; -en	the nature, character, natural world	
englisch	English (adj.)	
das Englisch	(the) English (language) (singular only)	
